ball_pos goalie_pos 
(-52, 8) (-52.5, -2.5)
(-52, 8) (-52.5, -2)
(-52, 8) (-52.5, -1.5)
(-52, 8) (-52.5, -1)
(-52, 8) (-52.5, -0.5)
(-52, 8) (-52.5, 0)
(-52, 8) (-52.5, 0.5)
(-52, 8) (-52.5, 1)
(-52, 8) (-52.5, 1.5)
(-52, 8) (-52.5, 2)
(-52, 8) (-52.5, 2.5)
(-52, 8) (-52.5, 3)
(-52, 8) (-52.5, 4)
(-52, 8) (-52.5, 4.5)
(-52, 8) (-52.5, 5)
(-52, 8) (-52.5, 5.5)
(-52, 8) (-52.5, 6)
(-52, 9) (-52.5, -10)
(-52, 9) (-52.5, -9.5)
(-52, 9) (-52.5, -9)
(-52, 9) (-52.5, -8.5)
(-52, 9) (-52.5, -8)
(-52, 9) (-52.5, -7.5)
(-52, 9) (-52.5, -7)
(-52, 9) (-52.5, -6.5)
(-52, 9) (-52.5, -6)
(-52, 9) (-52.5, -5.5)
(-52, 9) (-52.5, -5)
(-52, 9) (-52.5, -4.5)
(-52, 9) (-52.5, -4)
(-52, 9) (-52.5, -3.5)
(-52, 9) (-52.5, -3)
(-52, 9) (-52.5, -2.5)
(-52, 9) (-52.5, -2)
(-52, 9) (-52.5, -1.5)
(-52, 9) (-52.5, -1)
(-52, 9) (-52.5, -0.5)
(-52, 9) (-52.5, 0)
(-52, 9) (-52.5, 0.5)
(-52, 9) (-52.5, 1)
(-52, 9) (-52.5, 1.5)
(-52, 9) (-52.5, 2)
(-52, 9) (-52.5, 2.5)
(-52, 9) (-52.5, 3)
(-52, 9) (-52.5, 3.5)
(-52, 9) (-52.5, 4)
(-52, 9) (-52.5, 5)
(-52, 9) (-52.5, 5.5)
(-52, 9) (-52.5, 6)
(-52, 9) (-52.5, 6.5)
(-52, 9) (-52.5, 7)
(-52, 10) (-52.5, -10)
(-52, 10) (-52.5, -9.5)
(-52, 10) (-52.5, -9)
(-52, 10) (-52.5, -8.5)
(-52, 10) (-52.5, -8)
(-52, 10) (-52.5, -7.5)
(-52, 10) (-52.5, -7)
(-52, 10) (-52.5, -6.5)
(-52, 10) (-52.5, -6)
(-52, 10) (-52.5, -5.5)
(-52, 10) (-52.5, -5)
(-52, 10) (-52.5, -4.5)
(-52, 10) (-52.5, -4)
(-52, 10) (-52.5, -3.5)
(-52, 10) (-52.5, -3)
(-52, 10) (-52.5, -2.5)
(-52, 10) (-52.5, -2)
(-52, 10) (-52.5, -1.5)
(-52, 10) (-52.5, -1)
(-52, 10) (-52.5, -0.5)
(-52, 10) (-52.5, 0)
(-52, 10) (-52.5, 0.5)
(-52, 10) (-52.5, 1)
(-52, 10) (-52.5, 1.5)
(-52, 10) (-52.5, 2)
(-52, 10) (-52.5, 2.5)
(-52, 10) (-52.5, 3)
(-52, 10) (-52.5, 3.5)
(-52, 10) (-52.5, 4)
(-52, 10) (-52.5, 4.5)
(-52, 10) (-52.5, 5)
(-52, 10) (-52.5, 6)
(-52, 10) (-52.5, 6.5)
(-52, 10) (-52.5, 7)
(-52, 10) (-52.5, 7.5)
(-52, 10) (-52.5, 8)
(-52, 11) (-52.5, -9)
(-52, 11) (-52.5, -8.5)
(-52, 11) (-52.5, -8)
(-52, 11) (-52.5, -7.5)
(-52, 11) (-52.5, -7)
(-52, 11) (-52.5, -6.5)
(-52, 11) (-52.5, -6)
(-52, 11) (-52.5, -5.5)
(-52, 11) (-52.5, -5)
(-52, 11) (-52.5, -4.5)
(-52, 11) (-52.5, -4)
(-52, 11) (-52.5, -3.5)
(-52, 11) (-52.5, -3)
