ball_pos goalie_pos 
(-52, 19) (-52.5, -0.5)
(-52, 19) (-52.5, 0)
(-52, 19) (-52.5, 0.5)
(-52, 19) (-52.5, 1)
(-52, 19) (-52.5, 1.5)
(-52, 19) (-52.5, 2)
(-52, 19) (-52.5, 2.5)
(-52, 19) (-52.5, 3)
(-52, 19) (-52.5, 3.5)
(-52, 19) (-52.5, 4)
(-52, 19) (-52.5, 4.5)
(-52, 19) (-52.5, 5)
(-52, 19) (-52.5, 5.5)
(-52, 19) (-52.5, 6)
(-52, 19) (-52.5, 6.5)
(-52, 19) (-52.5, 7)
(-52, 19) (-52.5, 7.5)
(-52, 19) (-52.5, 8)
(-52, 19) (-52.5, 8.5)
(-52, 19) (-52.5, 9)
(-52, 19) (-52.5, 9.5)
(-52, 19) (-52.5, 10)
(-52, 20) (-52.5, 0)
(-52, 20) (-52.5, 0.5)
(-52, 20) (-52.5, 1)
(-52, 20) (-52.5, 1.5)
(-52, 20) (-52.5, 2)
(-52, 20) (-52.5, 2.5)
(-52, 20) (-52.5, 3)
(-52, 20) (-52.5, 3.5)
(-52, 20) (-52.5, 4)
(-52, 20) (-52.5, 4.5)
(-52, 20) (-52.5, 5)
(-52, 20) (-52.5, 5.5)
(-52, 20) (-52.5, 6)
(-52, 20) (-52.5, 6.5)
(-52, 20) (-52.5, 7)
(-52, 20) (-52.5, 7.5)
(-52, 20) (-52.5, 8)
(-52, 20) (-52.5, 8.5)
(-52, 20) (-52.5, 9)
(-52, 20) (-52.5, 9.5)
(-52, 20) (-52.5, 10)
(-51, 0) (-52.5, 1.5)
(-51, 0) (-52.5, 2)
(-51, 0) (-52.5, 2.5)
(-51, 0) (-52.5, 3)
(-51, 0) (-52.5, 3.5)
(-51, 0) (-52.5, 4)
(-51, 0) (-52, 1.5)
(-51, 0) (-52, 2)
(-51, 0) (-52, 2.5)
(-51, 0) (-52, 3)
(-51, 0) (-52, 3.5)
(-51, 0) (-51.5, 2)
(-51, 0) (-51.5, 2.5)
(-51, 0) (-51.5, 3)
(-51, 6) (-52.5, 2.5)
(-51, 6) (-52.5, 3)
(-51, 6) (-52.5, 3.5)
(-51, 6) (-52.5, 4)
(-51, 6) (-52.5, 4.5)
(-51, 6) (-52, 2.5)
(-51, 6) (-52, 3)
(-51, 6) (-52, 3.5)
(-51, 6) (-52, 4)
(-51, 6) (-52, 4.5)
(-51, 6) (-51.5, 2.5)
(-51, 6) (-51.5, 3)
(-51, 6) (-51.5, 3.5)
(-51, 6) (-51.5, 4)
(-51, 7) (-52.5, 3)
(-51, 7) (-52.5, 3.5)
(-51, 7) (-52.5, 4)
(-51, 7) (-52.5, 4.5)
(-51, 7) (-52.5, 5)
(-51, 7) (-52, 3)
(-51, 7) (-52, 3.5)
(-51, 7) (-52, 4)
(-51, 7) (-52, 4.5)
(-51, 7) (-52, 5)
(-51, 7) (-52, 5.5)
(-51, 7) (-51.5, 3.5)
(-51, 7) (-51.5, 4)
(-51, 7) (-51.5, 4.5)
(-51, 7) (-51.5, 5)
(-51, 8) (-52.5, 4)
(-51, 8) (-52.5, 4.5)
(-51, 8) (-52.5, 5)
(-51, 8) (-52.5, 5.5)
(-51, 8) (-52.5, 6)
(-51, 8) (-52, 4)
(-51, 8) (-52, 4.5)
(-51, 8) (-52, 5)
(-51, 8) (-52, 5.5)
(-51, 8) (-52, 6)
(-51, 8) (-51.5, 4)
(-51, 8) (-51.5, 4.5)
(-51, 8) (-51.5, 5)
(-51, 8) (-51.5, 5.5)
(-51, 8) (-51.5, 6)
(-51, 9) (-52.5, 2.5)
(-51, 9) (-52.5, 3)
(-51, 9) (-52.5, 3.5)
(-51, 9) (-52.5, 4)
(-51, 9) (-52.5, 4.5)
(-51, 9) (-52.5, 5.5)
(-51, 9) (-52.5, 6)
(-51, 9) (-52.5, 6.5)
(-51, 9) (-52.5, 7)
(-51, 9) (-52, 2.5)
(-51, 9) (-52, 3)
(-51, 9) (-52, 3.5)
(-51, 9) (-52, 4)
(-51, 9) (-52, 4.5)
(-51, 9) (-52, 5)
(-51, 9) (-52, 5.5)
(-51, 9) (-52, 6)
(-51, 9) (-52, 6.5)
(-51, 9) (-52, 7)
(-51, 9) (-51.5, 3)
(-51, 9) (-51.5, 3.5)
(-51, 9) (-51.5, 4)
(-51, 9) (-51.5, 5)
(-51, 9) (-51.5, 5.5)
(-51, 9) (-51.5, 6)
(-51, 9) (-51.5, 6.5)
(-51, 9) (-51.5, 7)
(-51, 10) (-52.5, 3.5)
(-51, 10) (-52.5, 4)
(-51, 10) (-52.5, 4.5)
(-51, 10) (-52.5, 5)
(-51, 10) (-52.5, 5.5)
(-51, 10) (-52.5, 6.5)
(-51, 10) (-52.5, 7)
(-51, 10) (-52.5, 7.5)
(-51, 10) (-52.5, 8)
(-51, 10) (-52, 3.5)
(-51, 10) (-52, 4)
(-51, 10) (-52, 4.5)
(-51, 10) (-52, 5)
(-51, 10) (-52, 5.5)
(-51, 10) (-52, 6)
(-51, 10) (-52, 6.5)
(-51, 10) (-52, 7)
(-51, 10) (-52, 7.5)
(-51, 10) (-52, 8)
(-51, 10) (-51.5, 3.5)
(-51, 10) (-51.5, 4)
(-51, 10) (-51.5, 4.5)
(-51, 10) (-51.5, 5)
(-51, 10) (-51.5, 6)
(-51, 10) (-51.5, 6.5)
(-51, 10) (-51.5, 7)
(-51, 10) (-51.5, 7.5)
(-51, 10) (-51.5, 8)
(-51, 11) (-52.5, 4.5)
(-51, 11) (-52.5, 5)
(-51, 11) (-52.5, 5.5)
(-51, 11) (-52.5, 6)
(-51, 11) (-52.5, 6.5)
(-51, 11) (-52.5, 7.5)
(-51, 11) (-52.5, 8)
(-51, 11) (-52.5, 8.5)
(-51, 11) (-52, 4)
(-51, 11) (-52, 4.5)
(-51, 11) (-52, 5)
(-51, 11) (-52, 5.5)
(-51, 11) (-52, 6)
(-51, 11) (-52, 6.5)
(-51, 11) (-52, 7)
(-51, 11) (-52, 7.5)
(-51, 11) (-52, 8)
(-51, 11) (-52, 8.5)
(-51, 11) (-52, 9)
(-51, 11) (-51.5, 4.5)
(-51, 11) (-51.5, 5)
(-51, 11) (-51.5, 5.5)
(-51, 11) (-51.5, 6)
(-51, 11) (-51.5, 7)
(-51, 11) (-51.5, 7.5)
(-51, 11) (-51.5, 8)
(-51, 11) (-51.5, 8.5)
(-51, 11) (-51.5, 9)
(-51, 12) (-52.5, 2)
(-51, 12) (-52.5, 2.5)
(-51, 12) (-52.5, 3)
(-51, 12) (-52.5, 3.5)
(-51, 12) (-52.5, 4)
(-51, 12) (-52.5, 4.5)
(-51, 12) (-52.5, 5)
(-51, 12) (-52.5, 5.5)
(-51, 12) (-52.5, 6)
(-51, 12) (-52.5, 6.5)
(-51, 12) (-52.5, 7)
(-51, 12) (-52.5, 8.5)
(-51, 12) (-52.5, 9)
(-51, 12) (-52.5, 9.5)
(-51, 12) (-52, 2)
(-51, 12) (-52, 2.5)
(-51, 12) (-52, 3)
(-51, 12) (-52, 3.5)
(-51, 12) (-52, 4)
(-51, 12) (-52, 4.5)
(-51, 12) (-52, 5)
(-51, 12) (-52, 5.5)
(-51, 12) (-52, 6)
(-51, 12) (-52, 6.5)
(-51, 12) (-52, 7)
(-51, 12) (-52, 7.5)
(-51, 12) (-52, 8)
(-51, 12) (-52, 8.5)
(-51, 12) (-52, 9)
(-51, 12) (-52, 9.5)
(-51, 12) (-52, 10)
(-51, 12) (-51.5, 5)
(-51, 12) (-51.5, 5.5)
(-51, 12) (-51.5, 6)
(-51, 12) (-51.5, 6.5)
(-51, 12) (-51.5, 7)
(-51, 12) (-51.5, 8)
(-51, 12) (-51.5, 8.5)
(-51, 12) (-51.5, 9)
(-51, 12) (-51.5, 9.5)
(-51, 12) (-51.5, 10)
(-51, 13) (-52.5, 3)
(-51, 13) (-52.5, 3.5)
(-51, 13) (-52.5, 4)
(-51, 13) (-52.5, 4.5)
(-51, 13) (-52.5, 5)
(-51, 13) (-52.5, 5.5)
(-51, 13) (-52.5, 6)
(-51, 13) (-52.5, 6.5)
(-51, 13) (-52.5, 7)
(-51, 13) (-52.5, 7.5)
(-51, 13) (-52.5, 8)
(-51, 13) (-52.5, 9.5)
(-51, 13) (-52.5, 10)
(-51, 13) (-52, 3)
(-51, 13) (-52, 3.5)
(-51, 13) (-52, 4)
(-51, 13) (-52, 4.5)
