#4 (18.8,-17.0)
9 qid:201507121930110145 1:18.7558 2:17.0137 3:4.62522 4:0 5:0.275578 6:13.9231 7:6.77356 8:2.67854e-07 9:0 10:16.1602 11:31.3169 12:14.5369 13:14.3033 14:100.285 15:19.7558 16:19.7558 17:5.45479 18:44.8627 19:3.86272 20:0
#5 (18.8,-14.0)
8 qid:201507121930110145 1:18.7558 2:14.0137 3:4.34672 4:0 5:0.238944 6:11.8977 7:9.62366 8:1.20774e-05 9:3 10:16.1602 11:31.3169 12:17.4969 13:17.3033 14:98.5311 15:19.7558 16:19.7558 17:3.95715 18:12.6301 19:28.3699 20:0
#1 (15.8,-17.0)
7 qid:201507121930110145 1:15.7558 2:17.0137 3:3.69587 4:0 5:0.395064 6:11.3959 7:6.77356 8:3.16362e-05 9:3 10:16.1602 11:31.3169 12:14.309 13:14.3033 14:88.3805 15:19.7558 16:19.7558 17:3.94525 18:77.0496 19:36.0496 20:0
#6 (18.8,-11.0)
6 qid:201507121930110145 1:18.7558 2:11.0137 3:5.01885 4:0 5:0.176724 6:9.63399 7:6.62366 8:0.000596098 9:6 10:16.1602 11:31.3169 12:20.4685 13:20.3033 14:97.2852 15:19.7558 16:19.7558 17:4.42306 18:28.6815 19:69.6815 20:0
#2 (15.8,-14.0)
2 qid:201507121930110145 1:15.7558 2:14.0137 3:1.39797 4:0 5:0.858726 6:10.4202 7:9.62366 8:0.000169437 9:4.24264 10:16.1602 11:31.3169 12:17.308 13:17.3033 14:88.6611 15:19.7558 16:19.7558 17:1.21219 18:44.3953 19:3.39528 20:1
#3 (15.8,-11.0)
1 qid:201507121930110145 1:15.7558 2:11.0137 3:2.87214 4:0 5:0.5402 6:7.73558 7:6.62366 8:0.0083364 9:6.7082 10:16.1602 11:31.3169 12:20.3073 13:20.3033 14:88.8589 15:19.7558 16:19.7558 17:2.31814 18:67.2986 19:108.299 20:1
