#5 (15.9,-17.0)                    
10 qid:201507131529110036 1:15.9185 2:17.0397 3:6.52709 4:0 5:0.0418357 6:14.071 7:12.2119 8:1.32534e-07 9:3 10:10.5885 11:29.6754 12:13.7138 13:12.6357 14:112.871 15:16.9185 16:16.9185 17:6.98544 18:86.5017 19:139.502 20:0
#1 (12.9,-17.0)                    
9 qid:201507131529110036 1:12.9185 2:17.0397 3:7.78921 4:0 5:0.0138349 6:12.8473 7:12.2119 8:2.29574e-06 9:4.24264 10:10.5885 11:29.6754 12:12.8487 13:12.6357 14:100.448 15:16.9185 16:16.9185 17:7.2073 18:108.551 19:161.551 20:0
#6 (15.9,-14.0)                    
8 qid:201507131529110036 1:15.9185 2:14.0397 3:3.6749 4:0 5:0.339579 6:16.1298 7:0.199678 8:1.09973e-09 9:0 10:10.5885 11:29.6754 12:16.5192 13:15.6357 14:108.824 15:16.9185 16:16.9185 17:4.03661 18:84.2136 19:137.214 20:0
#2 (12.9,-14.0)                    
7 qid:201507131529110036 1:12.9185 2:14.0397 3:5.61905 4:0 5:0.0813272 6:13.13 7:0.199678 8:1.03104e-06 9:3 10:10.5885 11:29.6754 12:15.8083 13:15.6357 14:98.4757 15:16.9185 16:16.9185 17:4.40941 18:119.087 19:172.087 20:0
#3 (12.9,-11.0)                    
6 qid:201507131529110036 1:12.9185 2:11.0397 3:4.525 4:1 5:0.196637 6:13.4239 7:2.80032 8:6.16249e-07 9:4.24264 10:10.5885 11:29.6754 12:18.7808 13:18.6357 14:97.1266 15:16.9185 16:16.9185 17:2.22277 18:148.389 19:158.611 20:0
#8 (15.9,-8.0)                    
5 qid:201507131529110036 1:15.9185 2:8.03968 3:3.05103 4:0 5:0.477251 6:16.7966 7:1.12968 8:2.1989e-10 9:6 10:10.5885 11:29.6754 12:22.2825 13:21.6357 14:103.839 15:16.9185 16:16.9185 17:2.29995 18:72.18 19:19.18 20:1
#4 (12.9,-8.0)                    
4 qid:201507131529110036 1:12.9185 2:8.03968 3:5.23236 4:0 5:0.113882 6:13.8048 7:1.12968 8:3.08854e-07 9:6.7082 10:10.5885 11:29.6754 12:21.7608 13:21.6357 14:96.1466 15:16.9185 16:16.9185 17:2.90491 18:150.46 19:97.4599 20:0
#7 (15.9,-11.0)                    
3 qid:201507131529110036 1:15.9185 2:11.0397 3:1.5514 4:1 5:0.824891 6:16.3698 7:2.80032 8:5.34181e-10 9:3 10:10.5885 11:29.6754 12:19.3829 13:18.6357 14:105.961 15:16.9185 16:16.9185 17:1.33866 18:73.5124 19:126.512 20:1
