#91 (11.5,-14.4)
20 qid:201507141605110534 1:11.4561 2:14.4026 3:5.21519 4:0 5:0.15402 6:13.6701 7:4.04966 8:3.21646e-07 9:7.07107 10:-1.60043 11:18.4523 12:13.6701 13:4.04966 14:162.768 15:12.2128 16:12.2128 17:5.52753 18:77.9828 19:120.017 20:0
#100 (11.5,-5.4)
19 qid:201507141605110534 1:11.4561 2:5.4026 3:3.84519 4:0 5:0.597853 6:18.4599 7:13.0497 8:1.44729e-12 9:2.23607 10:-1.60043 11:18.4523 12:18.4599 13:13.0497 14:135.015 15:12.2128 16:12.2128 17:3.96012 18:72.9165 19:89.0835 20:1
#9 (5.5,-6.4)
10 qid:201507141605110534 1:5.4561 2:6.4026 3:5.93522 4:0 5:0.0648468 6:13.9638 7:12.0497 8:1.68032e-07 9:5.09902 10:-1.60043 11:18.4523 12:13.9638 13:12.0497 14:120.354 15:12.2128 16:12.2128 17:5.25307 18:151.14 19:10.8598 20:0
#96 (11.5,-9.4)
1 qid:201507141605110534 1:11.4561 2:9.4026 3:0.806179 4:1 5:0.956849 6:15.8861 7:9.04966 8:1.70527e-09 9:2.23607 10:-1.60043 11:18.4523 12:15.8861 13:9.04966 14:145.274 15:12.2128 16:12.2128 17:1.5139 18:15.6504 19:177.65 20:1
#97 (11.5,-8.4)
1 qid:201507141605110534 1:11.4561 2:8.4026 3:1.1577 4:1 5:0.922329 6:16.4763 7:10.0497 8:3.70011e-10 9:1.41421 10:-1.60043 11:18.4523 12:16.4763 13:10.0497 14:142.414 15:12.2128 16:12.2128 17:1.62467 18:31.1049 19:130.895 20:1
