#79 (6.2,-19.0)
20 qid:201507141543110510 1:6.20813 2:18.9978 3:7.06263 4:0 5:0.0193224 6:20.6772 7:10.5922 8:1.39814e-15 9:5.09902 10:-12.1957 11:30.6 12:21.7557 13:11.6021 14:147.772 15:6.20813 16:6.20813 17:6.21353 18:61.8454 19:59.8454 20:0
#80 (6.2,-18.0)
19 qid:201507141543110510 1:6.20813 2:17.9978 3:6.06267 4:0 5:0.053011 6:21.2068 7:11.5922 8:2.37021e-16 9:4.12311 10:-12.1957 11:30.6 12:22.3051 13:12.6021 14:145.598 15:6.20813 16:6.20813 17:5.38939 18:56.4931 19:54.4931 20:0
#66 (5.2,-19.0)
18 qid:201507141543110510 1:5.20813 2:18.9978 3:7.12461 4:0 5:0.0180915 6:19.825 7:10.5922 8:2.21192e-14 9:5 10:-12.1957 11:30.6 12:20.9166 13:11.6021 14:146.311 15:6.20813 16:6.20813 17:5.74985 18:71.041 19:69.041 20:0
#81 (6.2,-17.0)
17 qid:201507141543110510 1:6.20813 2:16.9978 3:5.06273 4:0 5:0.1287 6:21.7696 7:12.5922 8:3.42402e-17 9:3.16228 10:-12.1957 11:30.6 12:22.8849 13:13.6021 14:143.532 15:6.20813 16:6.20813 17:4.63498 18:49.0486 19:47.0486 20:0
#7 (0.2,-13.0)
11 qid:201507141543110510 1:0.208127 2:12.9978 3:6.03391 4:1 5:0.0543319 6:20.336 7:16.5922 8:4.28213e-15 9:5.09902 10:-12.1957 11:30.6 12:21.5335 13:17.6021 14:125.172 15:6.20813 16:6.20813 17:2.81955 18:166.297 19:168.297 20:0
#84 (6.2,-14.0)
10 qid:201507141543110510 1:6.20813 2:13.9978 3:2.06326 4:0 5:0.71137 6:23.6319 7:15.5922 8:3.9524e-20 9:1 10:-12.1957 11:30.6 12:24.7858 13:16.6021 14:137.946 15:6.20813 16:6.20813 17:3.28566 18:4.46179 19:2.4618 20:1
