#85 (7.1,-18.9)
20 qid:201507141551110512 1:7.06423 2:18.8618 3:6.09606 4:0 5:0.0511821 6:19.2366 7:8.5181 8:1.39087e-13 9:6.08276 10:-9.70488 11:27.8932 12:19.0465 13:9.03148 14:151.694 15:7.06423 16:7.06423 17:5.44902 18:71.6109 19:69.6109 20:0
#12 (1.1,-7.9)
17 qid:201507141551110512 1:1.06423 2:7.86177 3:7.65106 4:0 5:0.0099391 6:22.5271 7:19.5181 8:2.33713e-18 9:7.07107 10:-9.70488 11:27.8932 12:22.7428 13:20.0315 14:118.263 15:7.06423 16:7.06423 17:7.10008 18:125.617 19:127.617 20:0
#6 (1.1,-13.9)
15 qid:201507141551110512 1:1.06423 2:13.8618 3:5.97288 4:1 5:0.0576122 6:17.5856 7:13.5181 8:1.80075e-11 9:5.09902 10:-9.70488 11:27.8932 12:17.6877 13:14.0315 14:127.506 15:7.06423 16:7.06423 17:3.6978 18:178.654 19:179.346 20:0
