#6 (11.5,-15.4)                    
20 qid:201507131453110017 1:11.4757 2:15.3548 3:4.36533 4:0 5:0.219808 6:15.7059 7:11.2756 8:2.6889e-09 9:6 10:-1.36218 11:23.4475 12:15.1757 13:8.09268 14:147.774 15:15.8484 16:15.8484 17:11.2957 18:69.9296 19:27.9296 20:0
#7 (11.5,-12.4)                    
19 qid:201507131453110017 1:11.4757 2:12.3548 3:3.7372 4:1 5:0.342192 6:17.9814 7:14.2756 8:5.83939e-12 9:3 10:-1.36218 11:23.4475 12:16.9664 13:11.0927 14:139.171 15:15.8484 16:15.8484 17:8.58904 18:62.3372 19:20.3372 20:1
#11 (14.5,-15.4)                    
19.5 qid:201507131453110017 1:14.4757 2:15.3548 3:2.44469 4:0 5:0.621567 6:17.9242 7:11.2756 8:6.88181e-12 9:6.7082 10:-1.36218 11:23.4475 12:17.7857 13:8.09268 14:152.934 15:15.8484 16:15.8484 17:12.7289 18:56.2431 19:14.2431 20:1
#1 (8.5,-15.4)                    
17 qid:201507131453110017 1:8.47571 2:15.3548 3:5.94324 4:1 5:0.0774417 6:13.7868 7:11.2756 8:2.48922e-07 9:6.7082 10:-1.36218 11:23.4475 12:12.7387 13:8.09268 14:140.559 15:15.8484 16:15.8484 17:10.5434 18:86.431 19:44.431 20:0
#8 (11.5,-9.4)                    
15 qid:201507131453110017 1:11.4757 2:9.35478 3:5.18433 4:0 5:0.259374 6:20.4446 7:17.2756 8:3.66651e-15 9:0 10:-1.36218 11:23.4475 12:19.0634 13:14.0927 14:132.332 15:15.8484 16:15.8484 17:6.16031 18:47.1612 19:5.16123 20:0
#13 (14.5,-9.4)                    
14 qid:201507131453110017 1:14.4757 2:9.35478 3:3.21598 4:0 5:0.772275 6:22.1942 7:17.2756 8:7.70475e-18 9:3 10:-1.36218 11:23.4475 12:21.2001 13:14.0927 14:138.337 15:15.8484 16:15.8484 17:8.50769 18:30.521 19:11.479 20:1
#15 (14.5,-3.4)                    
1 qid:201507131453110017 1:14.4757 2:3.35478 3:3.50368 4:0 5:0.449709 6:22.1291 7:12.1948 8:9.69965e-18 9:6.7082 10:-1.36218 11:23.4475 12:25.5843 13:20.0927 14:128.247 15:15.8484 16:15.8484 17:7.39842 18:17.5958 19:59.5958 20:1
