#8 (21.9,14.7)
20 qid:201507181648110050 1:21.921 2:14.7153 3:7.09841 4:0 5:0.0221889 6:16.9561 7:4.68118 8:1.56562e-10 9:5 10:19.8861 11:33.2292 12:18.6254 13:18.5139 14:96.2723 15:27.921 16:27.921 17:7.1545 18:123.793 19:45.7935 20:1
#12 (21.9,18.7)
19 qid:201507181648110050 1:21.921 2:18.7153 3:5.80886 4:1 5:0.0674481 6:13.6597 7:12.9076 8:3.29632e-07 9:6.40312 10:19.8861 11:33.2292 12:14.6559 13:14.5139 14:97.9811 15:27.921 16:27.921 17:4.30287 18:155.641 19:77.6412 20:1
#23 (22.9,14.7)
19 qid:201507181648110050 1:22.921 2:14.7153 3:6.30641 4:0 5:0.0516517 6:17.7704 7:16.9076 8:2.35292e-11 9:4 10:19.8861 11:33.2292 12:18.761 13:18.5139 14:99.3094 15:27.921 16:27.921 17:6.68265 18:116.337 19:38.3368 20:1
#22 (22.9,13.7)
19 qid:201507181648110050 1:22.921 2:13.7153 3:6.81691 4:0 5:0.0442416 6:17.1855 7:13.5164 8:5.86504e-11 9:4.12311 10:19.8861 11:33.2292 12:19.7485 13:19.5139 14:98.8401 15:27.921 16:27.921 17:7.60433 18:112.859 19:34.859 20:1
#105 (27.9,21.7)
18 qid:201507181648110050 1:27.921 2:21.7153 3:2.92573 4:0 5:0.50444 6:14.4147 7:9.90757 8:6.03724e-08 9:7.07107 10:19.8861 11:33.2292 12:14.0403 13:11.5139 14:124.909 15:27.921 16:27.921 17:2.41588 18:30.2873 19:108.287 20:1
#104 (27.9,20.7)
17 qid:201507181648110050 1:27.921 2:20.7153 3:1.92899 4:0 5:0.742618 6:15.1195 7:10.9076 8:1.14195e-08 9:6.08276 10:19.8861 11:33.2292 12:14.8714 13:12.5139 14:122.704 15:27.921 16:27.921 17:2.23707 18:6.89247 19:84.8925 20:1
#97 (27.9,13.7)
15 qid:201507181648110050 1:27.921 2:13.7153 3:4.97431 4:0 5:0.264589 6:20.6513 7:13.5164 8:2.64445e-15 9:1.41421 10:19.8861 11:33.2292 12:21.1034 13:19.5139 14:112.38 15:27.921 16:27.921 17:7.42838 18:72.2359 19:5.76414 20:2
