#5 (12.9,-18.7)                    
15 qid:201507111552110050 1:12.925 2:18.6841 3:2.11387 4:0 5:1.19331 6:9.97828 7:9.30145 8:0.000437345 9:3 10:10.0162 11:28.0409 12:9.79853 13:9.35682 14:107.269 15:13.925 16:13.925 17:4.65915 18:57.7999 19:5.79992 20:1
#2 (9.9,-15.7)                    
10 qid:201507111552110050 1:9.925 2:15.6841 3:4.49446 4:1 5:0.685613 6:6.85065 7:2.04748 8:0.0234172 9:3 10:10.0162 11:28.0409 12:12.3572 13:12.3568 14:89.5771 15:13.925 16:13.925 17:1.3625 18:141.289 19:89.2891 20:1
#1 (9.9,-18.7)                    
8 qid:201507111552110050 1:9.925 2:18.6841 3:1.91996 4:1 5:0.910615 6:8.25932 7:5.04748 8:0.00522237 9:4.24264 10:10.0162 11:28.0409 12:9.35726 13:9.35682 14:89.4415 15:13.925 16:13.925 17:4.18187 18:101.615 19:49.6146 20:1
#6 (12.9,-15.7)                    
5 qid:201507111552110050 1:12.925 2:15.6841 3:1.50629 4:1 5:1.11194 6:9.75482 7:2.04748 8:0.000496168 9:0 10:10.0162 11:28.0409 12:12.6946 13:12.3568 14:103.246 15:13.925 16:13.925 17:2.46496 18:14.6592 19:37.3408 20:2
#7 (12.9,-12.7)                    
4 qid:201507111552110050 1:12.925 2:12.6841 3:3.24105 4:0 5:0.809965 6:9.58497 7:0.952517 8:0.000642768 9:3 10:10.0162 11:28.0409 12:15.6299 13:15.3568 14:100.726 15:13.925 16:13.925 17:2.90592 18:46.7975 19:98.7975 20:2
#3 (9.9,-12.7)                    
2 qid:201507111552110050 1:9.925 2:12.6841 3:1.71041 4:0 5:0.983309 6:6.60655 7:0.952517 8:0.0304484 9:4.24264 10:10.0162 11:28.0409 12:15.3571 13:15.3568 14:89.6597 15:13.925 16:13.925 17:2.05542 18:107.041 19:159.041 20:2
#8 (12.9,-9.7)                    
2 qid:201507111552110050 1:12.925 2:9.68408 3:3.05627 4:0 5:0.518187 6:10.3241 7:3.95252 8:0.000199042 9:6 10:10.0162 11:28.0409 12:18.5859 13:18.3568 14:99.0041 15:13.925 16:13.925 17:5.36775 18:67.3052 19:119.305 20:2
#4 (9.9,-9.7)                    
1 qid:201507111552110050 1:9.925 2:9.68408 3:1.32737 4:1 5:0.898001 6:7.63948 7:3.95252 8:0.0093917 9:6.7082 10:10.0162 11:28.0409 12:18.357 13:18.3568 14:89.7153 15:13.925 16:13.925 17:4.95914 18:97.7725 19:149.773 20:2
