#9 (7.6,-5.7)                    
20 qid:201507111538110028 1:7.59599 2:5.71703 3:4.91522 4:0 5:0.250476 6:11.5852 7:4.87149 8:2.94978e-05 9:3 10:-1.41926 11:10.3656 12:10.1432 13:4.64859 14:152.723 15:8.59599 16:8.59599 17:4.13181 18:102.355 19:159.355 20:0
#10 (7.6,-2.7)                    
19 qid:201507111538110028 1:7.59599 2:2.71703 3:4.10576 4:0 5:0.32726 6:10.7585 7:3.71703 8:9.62103e-05 9:6 10:-1.41926 11:10.3656 12:11.8227 13:7.64859 14:139.689 15:8.59599 16:8.59599 17:7.11908 18:97.7185 19:154.719 20:0
#6 (7.6,-14.7)                    
10 qid:201507111538110028 1:7.59599 2:14.717 3:3.84217 4:0 5:0.722436 6:8.06703 7:7.71184 8:0.00551979 9:6 10:-1.41926 11:10.3656 12:10.0105 13:4.35141 14:154.235 15:8.59599 16:8.59599 17:4.92375 18:104.475 19:47.4751 20:0
#8 (7.6,-8.7)                    
6 qid:201507111538110028 1:7.59599 2:8.71703 3:2.43167 4:0 5:0.647712 6:10.6766 7:1.87149 8:0.000109889 9:0 10:-1.41926 11:10.3656 12:9.16475 13:1.64859 14:169.637 15:8.59599 16:8.59599 17:1.20926 18:119.713 19:176.713 20:0
#2 (4.6,-11.7)                    
5 qid:201507111538110028 1:4.59599 2:11.717 3:4.03011 4:1 5:0.553176 6:7.59556 7:1.12851 8:0.00990849 9:4.24264 10:-1.41926 11:10.3656 12:6.16519 13:1.35141 14:167.338 15:8.59599 16:8.59599 17:3.98066 18:164.454 19:107.454 20:0
#3 (4.6,-8.7)                    
4 qid:201507111538110028 1:4.59599 2:8.71703 3:4.54473 4:1 5:0.275164 6:7.7409 7:1.87149 8:0.00829096 9:3 10:-1.41926 11:10.3656 12:6.23708 13:1.64859 14:164.673 15:8.59599 16:8.59599 17:3.66813 18:155.319 19:147.681 20:0
#4 (4.6,-5.7)                    
4 qid:201507111538110028 1:4.59599 2:5.71703 3:2.92975 4:0 5:0.540041 6:8.95268 7:4.87149 8:0.0021236 9:4.24264 10:-1.41926 11:10.3656 12:7.60215 13:4.64859 14:142.303 15:8.59599 16:8.59599 17:5.39117 18:129.869 19:173.131 20:0
#5 (4.6,-2.7)                    
3 qid:201507111538110028 1:4.59599 2:2.71703 3:1.13193 4:0 5:0.975876 6:8.01058 7:3.71703 8:0.00597267 9:6.7082 10:-1.41926 11:10.3656 12:9.73058 13:7.64859 14:128.183 15:8.59599 16:8.59599 17:7.91671 18:117.329 19:174.329 20:1
#1 (4.6,-14.7)                    
3 qid:201507111538110028 1:4.59599 2:14.717 3:1.39023 4:0 5:1.20222 6:8.57109 7:4.12851 8:0.00365956 9:6.7082 10:-1.41926 11:10.3656 12:7.42415 13:4.35141 14:144.118 15:8.59599 16:8.59599 17:6.01965 18:134.548 19:77.5475 20:0
#7 (7.6,-11.7)                    
3 qid:201507111538110028 1:7.59599 2:11.717 3:1.22484 4:1 5:0.977498 6:10.5717 7:1.12851 8:0.000196805 9:3 10:-1.41926 11:10.3656 12:9.11598 13:1.35141 14:171.475 15:8.59599 16:8.59599 17:1.96285 18:133.313 19:76.3126 20:1
