# 6 (7.9 -6.3)                  
22 qid:201507111438110005 1:7.90322 2:6.26551 3:4.40356 4:1 5:0.423027 6:17.1792 7:5.90485 8:5.5765e-11 9:6 10:-6.28197 11:0.361631 12:15.3647 13:5.90388 14:157.403 15:8.90322 16:8.90322 17:10.3953 18:37.0497 19:141.95 20:0
# 5 (4.9 5.7)                  
21 qid:201507111438110005 1:4.90322 2:5.73449 3:5.39465 4:1 5:0.141063 6:14.478 7:6.09515 8:5.2159e-08 9:6.7082 10:-6.28197 11:0.361631 12:12.7386 13:6.09612 14:151.409 15:8.90322 16:8.90322 17:7.80798 18:47.2847 19:133.715 20:0
# 1 (4.9 -6.3)                  
12 qid:201507111438110005 1:4.90322 2:6.26551 3:6.73728 4:1 5:0.0662061 6:14.3989 7:5.90485 8:6.26129e-08 9:6.7082 10:-6.28197 11:0.361631 12:12.6477 13:5.90388 14:152.174 15:8.90322 16:8.90322 17:8.20255 18:49.7799 19:129.22 20:0
# 2 (4.9 -3.3)                  
11 qid:201507111438110005 1:4.90322 2:3.26551 3:4.55982 4:1 5:0.216718 6:13.4499 7:2.90485 8:5.18687e-07 9:4.24264 10:-6.28197 11:0.361631 12:11.556 13:2.90388 14:165.446 15:8.90322 16:8.90322 17:6.22113 18:31.6372 19:147.363 20:0
# 4 (4.9 2.7)                  
8 qid:201507111438110005 1:4.90322 2:2.73449 3:4.38235 4:2 5:0.361878 6:13.4923 7:3.09515 8:4.73409e-07 9:4.24264 10:-6.28197 11:0.361631 12:11.6058 13:3.09612 14:164.528 15:8.90322 16:8.90322 17:5.96186 18:27.3257 19:153.674 20:0
# 7 (7.9 -3.3)                  
5 qid:201507111438110005 1:7.90322 2:3.26551 3:2.74796 4:1 5:0.79536 6:16.3919 7:2.90485 8:4.61959e-10 9:3 10:-6.28197 11:0.361631 12:14.4794 13:2.90388 14:168.431 15:8.90322 16:8.90322 17:8.91527 18:21.4707 19:157.529 20:0
# 10 (7.9 5.7)                  
3 qid:201507111438110005 1:7.90322 2:5.73449 3:3.43853 4:1 5:0.734502 6:17.2455 7:6.09515 8:4.64542e-11 9:6 10:-6.28197 11:0.361631 12:15.4396 13:6.09612 14:156.744 15:8.90322 16:8.90322 17:10.0868 18:34.6624 19:146.338 20:0
# 3 (4.9 -0.3)                  
2 qid:201507111438110005 1:4.90322 2:0.265511 3:3.72275 4:1 5:0.446695 6:13.1328 7:0.095147 8:1.01804e-06 9:3 10:-6.28197 11:0.361631 12:11.1856 13:0.0961199 14:179.508 15:8.90322 16:8.90322 17:5.30313 18:2.84505 19:176.155 20:0
# 9 (7.9 2.7)                  
1.5 qid:201507111438110005 1:7.90322 2:2.73449 3:1.38788 4:2 5:1.41427 6:16.4267 7:3.09515 8:4.21633e-10 9:3 10:-6.28197 11:0.361631 12:14.5191 13:3.09612 14:167.687 15:8.90322 16:8.90322 17:8.73633 18:18.2561 19:162.744 20:1
# 8 (7.9 -0.3)                  
1 qid:201507111438110005 1:7.90322 2:0.265511 3:0.786263 4:1 5:1.46655 6:16.1327 7:0.095147 8:9.06695e-10 9:0 10:-6.28197 11:0.361631 12:14.1855 13:0.0961199 14:179.612 15:8.90322 16:8.90322 17:8.30077 18:1.81718 19:177.183 20:1
