ball_pos goalie_pos tackle_prob_l tackle_prob_r 
(-52, 0) (-52.5, -7.5) 0.625559
(-52, 0) (-52.5, -4.5) 0.923164
(-52, 0) (-52.5, -1.5) 0.81071
(-52, 1) (-52.5, -6.5) 0.62729
(-52, 1) (-52.5, -3.5) 0.920288
(-52, 1) (-52.5, -0.5) 0.80474
(-52, 2) (-52.5, -9) 0.157229
(-52, 2) (-52.5, -8.5) 0.858474
(-52, 2) (-52.5, -2.5) 0.917515
(-52, 2) (-52.5, 0.5) 0.799918
(-52, 3) (-52.5, -8) 0.163197
(-52, 3) (-52.5, -7.5) 0.859736
(-52, 3) (-52.5, -1.5) 0.91495
(-52, 3) (-52.5, 1.5) 0.795949
(-52, 4) (-52.5, -7) 0.165378
(-52, 4) (-52.5, -6.5) 0.860047
(-52, 4) (-52.5, -0.5) 0.912618
(-52, 4) (-52.5, 2.5) 0.792628
(-52, 5) (-52.5, -9) 0.73002
(-52, 5) (-52.5, 0.5) 0.91051
(-52, 5) (-52.5, 3.5) 0.789811
(-52, 6) (-52.5, -8) 0.731071
(-52, 6) (-52.5, 1.5) 0.908608
(-52, 6) (-52.5, 4.5) 0.787392
(-52, 7) (-52.5, -10) 0.914174
(-52, 7) (-52.5, 2.5) 0.906888
(-52, 7) (-52.5, 5.5) 0.785292
(-52, 8) (-52.5, -9.5) 0.418324
(-52, 8) (-52.5, -9) 0.914554
(-52, 8) (-52.5, 3.5) 0.905331
(-52, 8) (-52.5, 6.5) 0.783453
(-52, 9) (-52.5, 4.5) 0.903917
(-52, 9) (-52.5, 7.5) 0.78183
(-52, 10) (-52.5, 5.5) 0.902628
(-52, 10) (-52.5, 8.5) 0.780386
(-52, 11) (-52.5, -9.5) 0.685002
(-52, 11) (-52.5, 6.5) 0.90145
(-52, 11) (-52.5, 9.5) 0.779093
(-52, 12) (-52.5, 7.5) 0.90037
(-52, 13) (-52.5, 8.5) 0.899376
(-52, 14) (-52.5, 9.5) 0.89846
(-51, 0) (-52.5, -7.5) 0.396046
(-51, 0) (-52.5, -7) 0.908491
(-51, 0) (-52.5, -4) 0.902344
(-51, 0) (-52.5, -1.5) 0.689362
(-51, 0) (-52, -1.5) 0.848451
(-51, 0) (-52, -1) 0.138551
(-51, 0) (-51.5, -1.5) 0.864163
(-51, 0) (-51.5, -1) 0.189397
(-51, 1) (-52.5, -6.5) 0.415973
(-51, 1) (-52.5, -6) 0.908754
(-51, 1) (-52.5, -3) 0.883773
(-51, 1) (-52.5, -1) 0.920542
(-51, 1) (-52.5, -0.5) 0.614356
(-51, 1) (-52, -6) 0.924484
(-51, 1) (-52, -0.5) 0.822227
(-51, 1) (-52, 0) 0.0435825
(-51, 1) (-51.5, -0.5) 0.858023
(-51, 1) (-51.5, 0) 0.157015
(-51, 2) (-52.5, -8.5) 0.776525
(-51, 2) (-52.5, -2.5) 0.915284
(-51, 2) (-52.5, -2) 0.86498
(-51, 2) (-52.5, 0) 0.897843
(-51, 2) (-52.5, 0.5) 0.545976
(-51, 2) (-52, 0.5) 0.798484
(-51, 2) (-51.5, 0.5) 0.851991
(-51, 2) (-51.5, 1) 0.128792
(-51, 3) (-52.5, -7.5) 0.791378
(-51, 3) (-52.5, -1.5) 0.890829
(-51, 3) (-52.5, -1) 0.846685
(-51, 3) (-52.5, 1) 0.876062
(-51, 3) (-52.5, 1.5) 0.484303
(-51, 3) (-52, 1.5) 0.777154
(-51, 3) (-51.5, 1.5) 0.846333
(-51, 3) (-51.5, 2) 0.104254
(-51, 4) (-52.5, -6.5) 0.794963
(-51, 4) (-52.5, -0.5) 0.865202
(-51, 4) (-52.5, 0) 0.829241
(-51, 4) (-52.5, 2) 0.85555
(-51, 4) (-52.5, 2.5) 0.428895
(-51, 4) (-52, 2.5) 0.758036
(-51, 4) (-51.5, -0.5) 0.923835
(-51, 4) (-51.5, 2.5) 0.841129
(-51, 4) (-51.5, 3) 0.0828587
(-51, 5) (-52.5, -9) 0.635346
(-51, 5) (-52.5, 0.5) 0.83917
(-51, 5) (-52.5, 1) 0.812805
(-51, 5) (-52.5, 3) 0.836431
(-51, 5) (-52.5, 3.5) 0.379127
(-51, 5) (-52, 3.5) 0.740887
(-51, 5) (-51.5, 3.5) 0.836382
(-51, 5) (-51.5, 4) 0.0641102
(-51, 6) (-52.5, -8) 0.646812
(-51, 6) (-52.5, 1.5) 0.813271
