5 qid:201507091557060009 1:-6.922 2:-0.558639 3:0.558639 4:-9.45459 5:11.8101 6:11.8101 7:21.2949 8:22.9366 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:2.2 19:21.6069 20:0 21:0 22:0 23:63.0702 24:0 25:0 26:52.3053 27:0 28:1.05885e-08 29:0 30:0 31:1 32:10
5 qid:201507091557060009 1:-6.922 2:-0.558639 3:0.558639 4:-8.3514 5:-9.74655 6:9.74655 7:21.2949 8:22.9366 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:3.42191 19:18.9342 20:0 21:0 22:0 23:61.627 24:0 25:0 26:50.7953 27:0 28:2.6801e-08 29:0 30:0 31:1 32:10
3.5 qid:201507091557060009 1:-6.922 2:-0.558639 3:0.558639 4:1.89944 5:0.545532 6:0.545532 7:21.2949 8:22.9366 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:0.547494 19:117.232 20:0 21:0 22:0 23:50.6035 24:0 25:0 26:39.6043 27:0 28:0.0227769 29:0 30:0 31:1 32:5
3 qid:201507091557060009 1:-6.922 2:-0.558639 3:0.558639 4:2.2738 5:0.974567 6:0.974567 7:21.2949 8:22.9366 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:0.92418 19:82.2996 20:0 21:0 22:0 23:50.2357 24:0 25:0 26:39.2383 27:0 28:0.0298717 29:0 30:0 31:1 32:5
-15 qid:201507091557060009 1:-6.922 2:-0.558639 3:0.558639 4:-15.5383 5:12.747 6:12.747 7:21.2949 8:22.9366 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:4.4 19:156.607 20:0 21:0 22:0 23:69.2221 24:0 25:0 26:58.4453 27:0 28:5.08353e-15 29:0 30:0 31:1 32:12
-19 qid:201507091557060009 1:-6.922 2:-0.558639 3:0.558639 4:-19.4262 5:-18.6162 6:18.6162 7:21.2949 8:22.9366 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:4.4 19:14.6918 20:0 21:1.43625e-06 22:0 23:74.2963 24:0 25:0 26:63.7069 27:0 28:1.77942e-18 29:0 30:0 31:1 32:14
-25 qid:201507091557060009 1:-6.922 2:-0.558639 3:0.558639 4:-21.4831 5:4.91807 6:4.91807 7:21.2949 8:22.9366 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:3.3 19:2.46507 20:0 21:1.43625e-06 22:0 23:74.1463 24:0 25:0 26:63.1748 27:0 28:5.70036e-30 29:0 30:0 31:1 32:11
-25 qid:201507091557060009 1:-6.922 2:-0.558639 3:0.558639 4:-22.6649 5:-5.62541 6:5.62541 7:21.2949 8:22.9366 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:2.2 19:15.9732 20:0 21:1.43625e-06 22:0 23:75.3752 24:0 25:0 26:64.4111 27:0 28:2.26653e-30 29:0 30:0 31:1 32:10
35 qid:201507091601080022 1:-4.78298 2:12.4609 3:12.4609 4:25.1871 5:26.5311 6:26.5311 7:13.0568 8:14.9725 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:56.7777 24:0 25:0 26:31.145 27:0 28:9.64537e-06 29:0 30:0 31:4 32:34
35 qid:201507091601080022 1:-4.78298 2:12.4609 3:12.4609 4:24.0685 5:26.1544 6:26.1544 7:13.0568 8:14.9725 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:56.7777 24:0 25:0 26:31.431 27:0 28:6.7727e-05 29:0 30:0 31:4 32:31
